radius,thickness,gap_angle,shell_stiffness
1500,10,10,4630
1500,10,20,2402
1500,10,30,1350
1500,10,40,891
1500,10,50,653
1500,10,60,458
1500,10,70,345
1500,10,80,276
1500,10,90,212
1500,10,100,169
1500,10,110,140
1500,10,120,111
1500,10,130,90
1500,10,140,76
1500,10,150,60
1500,10,160,48
1500,10,170,40
1500,10,180,31
1500,20,10,8651
1500,20,20,4719
1500,20,30,2803
1500,20,40,1931
1500,20,50,1462
1500,20,60,1052
1500,20,70,802
1500,20,80,647
1500,20,90,495
1500,20,100,393
1500,20,110,326
1500,20,120,256
1500,20,130,206
1500,20,140,172
1500,20,150,135
1500,20,160,108
1500,20,170,90
1500,20,180,69
1500,30,10,12531
1500,30,20,6925
1500,30,30,4182
1500,30,40,2933
1500,30,50,2257
1500,30,60,1654
1500,30,70,1276
1500,30,80,1037
1500,30,90,800
1500,30,100,639
1500,30,110,530
1500,30,120,416
1500,30,130,336
1500,30,140,280
1500,30,150,220
1500,30,160,176
1500,30,170,145
1500,30,180,112
1500,40,10,16287
1500,40,20,9091
1500,40,30,5540
1500,40,40,3928
1500,40,50,3048
1500,40,60,2258
1500,40,70,1759
1500,40,80,1438
1500,40,90,1117
1500,40,100,895
1500,40,110,744
1500,40,120,587
1500,40,130,473
1500,40,140,395
1500,40,150,310
1500,40,160,248
1500,40,170,205
1500,40,180,158
1500,50,10,19920
1500,50,20,11223
1500,50,30,6892
1500,50,40,4921
1500,50,50,3839
1500,50,60,2866
1500,50,70,2247
1500,50,80,1845
1500,50,90,1440
1500,50,100,1158
1500,50,110,965
1500,50,120,762
1500,50,130,616
1500,50,140,514
1500,50,150,403
1500,50,160,323
1500,50,170,266
1500,50,180,205
1500,60,10,23364
1500,60,20,13316
1500,60,30,8237
1500,60,40,5910
1500,60,50,4630
1500,60,60,3477
1500,60,70,2738
1500,60,80,2256
1500,60,90,1767
1500,60,100,1426
1500,60,110,1190
1500,60,120,942
1500,60,130,762
1500,60,140,635
1500,60,150,499
1500,60,160,399
1500,60,170,328
1500,60,180,253
1500,70,10,26667
1500,70,20,15361
1500,70,30,9560
1500,70,40,6897
1500,70,50,5420
1500,70,60,4087
1500,70,70,3231
1500,70,80,2669
1500,70,90,2097
1500,70,100,1695
1500,70,110,1418
1500,70,120,1123
1500,70,130,909
1500,70,140,758
1500,70,150,595
1500,70,160,476
1500,70,170,392
1500,70,180,301
1500,80,10,29851
1500,80,20,17361
1500,80,30,10870
1500,80,40,7874
1500,80,50,6203
1500,80,60,4695
1500,80,70,3723
1500,80,80,3082
1500,80,90,2427
1500,80,100,1967
1500,80,110,1646
1500,80,120,1305
1500,80,130,1058
1500,80,140,882
1500,80,150,693
1500,80,160,554
1500,80,170,455
1500,80,180,349
1500,90,10,32787
1500,90,20,19342
1500,90,30,12165
1500,90,40,8842
1500,90,50,6983
1500,90,60,5299
1500,90,70,4214
1500,90,80,3494
1500,90,90,2757
1500,90,100,2238
1500,90,110,1875
1500,90,120,1488
1500,90,130,1207
1500,90,140,1006
1500,90,150,790
1500,90,160,632
1500,90,170,519
1500,90,180,398
1500,100,10,35714
1500,100,20,21231
1500,100,30,13441
1500,100,40,9804
1500,100,50,7758
1500,100,60,5903
1500,100,70,4704
1500,100,80,3905
1500,100,90,3087
1500,100,100,2509
1500,100,110,2103
1500,100,120,1671
1500,100,130,1356
1500,100,140,1131
1500,100,150,888
1500,100,160,710
1500,100,170,583
1500,100,180,446
1500,110,10,38314
1500,110,20,23095
1500,110,30,14706
1500,110,40,10753
1500,110,50,8525
1500,110,60,6502
1500,110,70,5189
1500,110,80,4312
1500,110,90,3415
1500,110,100,2779
1500,110,110,2332
1500,110,120,1854
1500,110,130,1505
1500,110,140,1255
1500,110,150,985
1500,110,160,787
1500,110,170,646
1500,110,180,494
1500,120,10,40984
1500,120,20,24876
1500,120,30,15949
1500,120,40,11696
1500,120,50,9285
1500,120,60,7092
1500,120,70,5672
1500,120,80,4719
1500,120,90,3743
1500,120,100,3049
1500,120,110,2559
1500,120,120,2035
1500,120,130,1653
1500,120,140,1379
1500,120,150,1082
1500,120,160,865
1500,120,170,709
1500,120,180,542
1500,130,10,43478
1500,130,20,26596
1500,130,30,17153
1500,130,40,12626
1500,130,50,10040
1500,130,60,7680
1500,130,70,6150
1500,130,80,5123
1500,130,90,4067
1500,130,100,3316
1500,130,110,2785
1500,130,120,2216
1500,130,130,1801
1500,130,140,1502
1500,130,150,1179
1500,130,160,942
1500,130,170,772
1500,130,180,590
1500,140,10,45872
1500,140,20,28329
1500,140,30,18349
1500,140,40,13532
1500,140,50,10787
1500,140,60,8264
1500,140,70,6627
1500,140,80,5525
1500,140,90,4390
1500,140,100,3582
1500,140,110,3009
1500,140,120,2396
1500,140,130,1947
1500,140,140,1624
1500,140,150,1275
1500,140,160,1019
1500,140,170,835
1500,140,180,637
1500,150,10,48077
1500,150,20,29940
1500,150,30,19531
1500,150,40,14451
1500,150,50,11521
1500,150,60,8842
1500,150,70,7102
1500,150,80,5924
1500,150,90,4710
1500,150,100,3846
1500,150,110,3233
1500,150,120,2575
1500,150,130,2093
1500,150,140,1746
1500,150,150,1370
1500,150,160,1095
1500,150,170,897
1500,150,180,684
2000,10,10,3426
2000,10,20,1741
2000,10,30,962
2000,10,40,632
2000,10,50,462
2000,10,60,328
2000,10,70,253
2000,10,80,206
2000,10,90,162
2000,10,100,133
2000,10,110,113
2000,10,120,92
2000,10,130,76
2000,10,140,65
2000,10,150,52
2000,10,160,42
2000,10,170,35
2000,10,180,27
2000,20,10,6477
2000,20,20,3490
2000,20,30,2049
2000,20,40,1400
2000,20,50,1051
2000,20,60,756
2000,20,70,580
2000,20,80,470
2000,20,90,364
2000,20,100,294
2000,20,110,246
2000,20,120,196
2000,20,130,160
2000,20,140,134
2000,20,150,107
2000,20,160,86
2000,20,170,71
2000,20,180,55
2000,30,10,9407
2000,30,20,5149
2000,30,30,3083
2000,30,40,2147
2000,30,50,1635
2000,30,60,1191
2000,30,70,919
2000,30,80,746
2000,30,90,577
2000,30,100,463
2000,30,110,385
2000,30,120,305
2000,30,130,247
2000,30,140,207
2000,30,150,163
2000,30,160,131
2000,30,170,108
2000,30,180,84
2000,40,10,12285
2000,40,20,6780
2000,40,30,4100
2000,40,40,2887
2000,40,50,2217
2000,40,60,1629
2000,40,70,1265
2000,40,80,1029
2000,40,90,797
2000,40,100,640
2000,40,110,532
2000,40,120,419
2000,40,130,340
2000,40,140,283
2000,40,150,223
2000,40,160,179
2000,40,170,147
2000,40,180,114
2000,50,10,15106
2000,50,20,8396
2000,50,30,5115
2000,50,40,3630
2000,50,50,2803
2000,50,60,2075
2000,50,70,1619
2000,50,80,1321
2000,50,90,1026
2000,50,100,824
2000,50,110,685
2000,50,120,540
2000,50,130,437
2000,50,140,364
2000,50,150,286
2000,50,160,229
2000,50,170,189
2000,50,180,146
2000,60,10,17857
2000,60,20,9990
2000,60,30,6127
2000,60,40,4374
2000,60,50,3393
2000,60,60,2526
2000,60,70,1980
2000,60,80,1620
2000,60,90,1262
2000,60,100,1016
2000,60,110,845
2000,60,120,667
2000,60,130,540
2000,60,140,449
2000,60,150,353
2000,60,160,283
2000,60,170,233
2000,60,180,179
2000,70,10,20492
2000,70,20,11561
2000,70,30,7133
2000,70,40,5120
2000,70,50,3986
2000,70,60,2981
2000,70,70,2346
2000,70,80,1924
2000,70,90,1503
2000,70,100,1213
2000,70,110,1009
2000,70,120,798
2000,70,130,646
2000,70,140,537
2000,70,150,422
2000,70,160,338
2000,70,170,278
2000,70,180,214
2000,80,10,23095
2000,80,20,13123
2000,80,30,8137
2000,80,40,5865
2000,80,50,4579
2000,80,60,3438
2000,80,70,2715
2000,80,80,2231
2000,80,90,1748
2000,80,100,1413
2000,80,110,1177
2000,80,120,931
2000,80,130,755
2000,80,140,628
2000,80,150,493
2000,80,160,395
2000,80,170,324
2000,80,180,249
2000,90,10,25575
2000,90,20,14641
2000,90,30,9132
2000,90,40,6605
2000,90,50,5171
2000,90,60,3896
2000,90,70,3085
2000,90,80,2540
2000,90,90,1994
2000,90,100,1616
2000,90,110,1347
2000,90,120,1066
2000,90,130,865
2000,90,140,720
2000,90,150,565
2000,90,160,453
2000,90,170,372
2000,90,180,285
2000,100,10,27933
2000,100,20,16155
2000,100,30,10111
2000,100,40,7342
2000,100,50,5760
2000,100,60,4352
2000,100,70,3455
2000,100,80,2850
2000,100,90,2242
2000,100,100,1819
2000,100,110,1518
2000,100,120,1203
2000,100,130,976
2000,100,140,812
2000,100,150,638
2000,100,160,511
2000,100,170,419
2000,100,180,321
2000,110,10,30303
2000,110,20,17637
2000,110,30,11086
2000,110,40,8078
2000,110,50,6345
2000,110,60,4808
2000,110,70,3826
2000,110,80,3159
2000,110,90,2489
2000,110,100,2023
2000,110,110,1689
2000,110,120,1340
2000,110,130,1088
2000,110,140,905
2000,110,150,711
2000,110,160,570
2000,110,170,467
2000,110,180,358
2000,120,10,32468
2000,120,20,19084
2000,120,30,12048
2000,120,40,8803
2000,120,50,6930
2000,120,60,5260
2000,120,70,4195
2000,120,80,3467
2000,120,90,2737
2000,120,100,2227
2000,120,110,1861
2000,120,120,1477
2000,120,130,1200
2000,120,140,998
2000,120,150,784
2000,120,160,628
2000,120,170,514
2000,120,180,394
2000,130,10,34602
2000,130,20,20492
2000,130,30,13004
2000,130,40,9524
2000,130,50,7508
2000,130,60,5711
2000,130,70,4562
2000,130,80,3775
2000,130,90,2984
2000,130,100,2431
2000,130,110,2032
2000,130,120,1614
2000,130,130,1312
2000,130,140,1092
2000,130,150,857
2000,130,160,687
2000,130,170,562
2000,130,180,430
2000,140,10,36630
2000,140,20,21882
2000,140,30,13947
2000,140,40,10235
2000,140,50,8084
2000,140,60,6161
2000,140,70,4929
2000,140,80,4082
2000,140,90,3230
2000,140,100,2634
2000,140,110,2203
2000,140,120,1751
2000,140,130,1424
2000,140,140,1185
2000,140,150,930
2000,140,160,745
2000,140,170,610
2000,140,180,467
2000,150,10,38610
2000,150,20,23256
2000,150,30,14881
2000,150,40,10941
2000,150,50,8658
2000,150,60,6605
2000,150,70,5291
2000,150,80,4388
2000,150,90,3476
2000,150,100,2836
2000,150,110,2374
2000,150,120,1887
2000,150,130,1536
2000,150,140,1277
2000,150,150,1003
2000,150,160,804
2000,150,170,657
2000,150,180,503
2500,10,10,2706
2500,10,20,1354
2500,10,30,740
2500,10,40,488
2500,10,50,360
2500,10,60,262
2500,10,70,207
2500,10,80,172
2500,10,90,139
2500,10,100,117
2500,10,110,101
2500,10,120,83
2500,10,130,70
2500,10,140,60
2500,10,150,48
2500,10,160,39
2500,10,170,32
2500,10,180,24
2500,20,10,5160
2500,20,20,2756
2500,20,30,1604
2500,20,40,1093
2500,20,50,820
2500,20,60,595
2500,20,70,463
2500,20,80,380
2500,20,90,301
2500,20,100,248
2500,20,110,211
2500,20,120,171
2500,20,130,142
2500,20,140,120
2500,20,150,96
2500,20,160,78
2500,20,170,64
2500,20,180,49
2500,30,10,7519
2500,30,20,4088
2500,30,30,2433
2500,30,40,1690
2500,30,50,1284
2500,30,60,939
2500,30,70,732
2500,30,80,599
2500,30,90,470
2500,30,100,384
2500,30,110,323
2500,30,120,259
2500,30,130,213
2500,30,140,180
2500,30,150,143
2500,30,160,115
2500,30,170,95
2500,30,180,73
2500,40,10,9843
2500,40,20,5394
2500,40,30,3247
2500,40,40,2282
2500,40,50,1747
2500,40,60,1286
2500,40,70,1004
2500,40,80,820
2500,40,90,642
2500,40,100,521
2500,40,110,437
2500,40,120,348
2500,40,130,285
2500,40,140,239
2500,40,150,189
2500,40,160,152
2500,40,170,125
2500,40,180,96
2500,50,10,12121
2500,50,20,6689
2500,50,30,4057
2500,50,40,2874
2500,50,50,2210
2500,50,60,1635
2500,50,70,1279
2500,50,80,1046
2500,50,90,817
2500,50,100,662
2500,50,110,553
2500,50,120,439
2500,50,130,358
2500,50,140,299
2500,50,150,236
2500,50,160,190
2500,50,170,156
2500,50,180,120
2500,60,10,14368
2500,60,20,7974
2500,60,30,4866
2500,60,40,3466
2500,60,50,2676
2500,60,60,1987
2500,60,70,1559
2500,60,80,1275
2500,60,90,996
2500,60,100,806
2500,60,110,672
2500,60,120,533
2500,60,130,433
2500,60,140,361
2500,60,150,284
2500,60,160,229
2500,60,170,188
2500,60,180,144
2500,70,10,16556
2500,70,20,9242
2500,70,30,5672
2500,70,40,4062
2500,70,50,3145
2500,70,60,2344
2500,70,70,1843
2500,70,80,1509
2500,70,90,1179
2500,70,100,954
2500,70,110,794
2500,70,120,629
2500,70,130,511
2500,70,140,426
2500,70,150,335
2500,70,160,269
2500,70,170,221
2500,70,180,170
2500,80,10,18727
